labID,agentID,totalActions,totalActionValue,totalMoves,totalTurns,totalNorth,totalEast,totalSouth,totalWest,totalLeft,totalRight,totalTime,timePerAction,pathlength,totalVisitedGround,percVisitedGround,minCogLoad,maxCogLoad,avCogLoad,startCogLoad,endCogLoad: None
lab7,tremaux,293.6,39134.319999999985,173.8,119.8,44.1,50.3,37.1,42.3,76.8,43.0,3.6071414000000006,0.012280198282296992,173.8,99.4,0.5522222222222222,664.0,8008.0,4455.148281731466,664.0,8008.0
lab7,directedTremaux,113.2,6204.76,67.4,45.8,20.1,21.1,13.1,13.1,30.6,15.2,1.5575107000000001,0.013552279567188097,67.4,46.2,0.25666666666666665,832.0,4427.2,2467.16610409491,832.0,4427.2
lab7,simple,1732.4,2641927.4799999734,1030.2,702.2,241.5,281.1,234.5,273.1,253.0,449.2,35.7416552,0.020603651604504034,1030.2,117.4,0.6522222222222223,560.0,832.0,721.4709903349631,560.0,832.0
lab7,greedy,535.0,97412.79999999983,107.0,428.0,31.0,30.0,24.0,22.0,0.0,428.0,3.6506567,0.00682365738317757,107.0,63.0,0.35,608.0,3088.0,1954.2280373831775,608.0,3088.0
lab8,wall_follower,355.0,45678.39999999984,109.0,246.0,28.0,33.0,23.0,25.0,122.0,124.0,1.6574297000000002,0.004668816056338028,109.0,64.0,0.33333333333333337,208.0,208.0,208.0,208.0,208.0
lab8,tremaux,143.6,9723.299999999997,83.4,60.2,22.4,25.8,17.4,17.8,41.7,18.5,1.9706946000000003,0.013911619529438857,83.4,51.2,0.2666666666666667,1260.0,5582.4,3311.892387833685,1260.0,5582.4
lab8,directedTremaux,47.0,1135.6,28.2,18.8,8.4,12.2,3.4,4.2,10.8,8.0,0.7344687,0.01596082342642304,28.2,23.6,0.12291666666666665,1445.6,3168.0,2267.0477199021616,1445.6,3168.0
lab8,simple,3207.6,9302025.580000293,1830.8,1376.8,429.9,492.0,424.9,484.0,444.2,932.6,68.2292476,0.020198910615893968,1830.8,132.5,0.6901041666666667,560.0,832.0,722.7194012335863,712.0,560.0
lab8,greedy,215.0,15755.199999999977,43.0,172.0,11.0,17.0,6.0,9.0,0.0,172.0,1.4190635,0.00660029534883721,43.0,30.0,0.15625,608.0,1992.0,1268.9860465116276,776.0,1992.0
lab9,wall_follower,575.0,119786.80000000002,178.0,397.0,44.0,52.0,40.0,42.0,198.0,199.0,2.6818029,0.004664005043478261,178.0,97.0,0.49743589743589745,208.0,208.0,208.0,208.0,208.0
lab9,tremaux,201.0,20895.03999999999,124.6,76.4,31.3,38.0,27.3,28.0,55.5,20.9,2.8924329999999996,0.01446036932965788,124.6,70.3,0.3605128205128205,664.0,7368.8,4197.464873607278,664.0,7368.8
lab9,directedTremaux,163.2,14035.21999999999,102.6,60.6,26.5,31.8,22.5,21.8,42.2,18.4,2.4576249,0.015231218539592223,102.6,59.3,0.30410256410256414,832.0,6308.8,3872.0119108582267,832.0,6308.8
lab9,simple,524.2,230630.80000000034,317.0,207.2,73.4,92.1,69.4,82.1,68.7,138.5,10.6643797,0.02067269399443789,317.0,76.2,0.39076923076923076,560.0,832.0,723.7141026733746,560.0,832.0
lab9,greedy,630.0,135059.4000000001,126.0,504.0,32.0,38.0,28.0,28.0,0.0,504.0,4.3154699,0.006849952222222222,126.0,66.0,0.3384615384615385,608.0,3088.0,2045.485714285714,608.0,3088.0
